date,Buyout and Growth,Commodity,Emerging Markets Equities,Emerging Markets Fixed Income,Event Driven,Fund of Funds,Global Macro,Hedged Equity,Long/Short Credit,MultiStratHF,MultiStratPE,Non-US Developed Equities,PRIVATE DEBT,Private Real Asset,REAL ESTATE,REITs,Secondaries,US Equities,US Fixed Income
6/30/04,,-4.633729879,0.421641471,1.079567663,1.444168318,,-0.57169749,1.038966479,,0.634290784,,2.226433458,,,,4.086889131,,2.285365105,0.60432111
7/31/04,-0.460409483,8.421439284,-1.967510073,0.715357047,-1.236409089,0.026730594,-0.328233049,-1.891259659,,-1.194866977,-0.944414529,-3.258121781,-0.353690148,,-0.203971391,-2.206467947,0.496161161,-3.142771436,0.750217576
8/31/04,1.860460168,-1.11184244,4.094517497,2.498328049,0.205049309,1.25484586,-0.515842979,0.124649162,,-0.002694124,1.307412401,0.787505157,0.759163209,,1.659925037,3.364825003,1.456905169,-0.066051859,1.950343109
9/30/04,2.971593352,11.37895724,5.76755953,1.249454968,2.37227986,1.893659471,2.639463339,2.448985952,,2.424676136,2.660027078,2.651345805,1.975469409,,1.663246238,1.971953661,2.735587308,0.596282999,0.394003013
10/31/04,3.742228492,4.279082128,2.342948307,1.491666053,1.91070682,1.740929009,1.139624376,1.277441665,,1.198156959,2.420903023,3.234918055,2.776735847,,2.290396949,4.035131052,2.644917969,1.771713647,0.846217179
11/30/04,5.212280717,-4.563819117,9.445056538,0.726739041,4.631302501,2.561567896,2.624366134,3.678414669,,3.078014527,4.266208731,6.425527957,4.769088603,,3.643835865,5.41068871,3.522166764,4.014638794,-0.870098986
12/31/04,4.046260982,-9.761505012,4.824359595,2.377156343,2.415977344,1.783569953,0.529627424,1.781697022,,1.488796667,2.865269015,4.447813286,4.37421895,,3.038993588,5.404123979,2.020295481,3.331397763,0.998221164
1/31/05,-1.218248613,6.661934355,0.154885412,0.346692481,-0.868995892,-0.422995349,-0.535849305,-0.671491863,,-0.395657236,-0.784755563,-2.121217385,0.371591423,,0.741806342,-6.291544423,0.538846171,-2.260967768,0.579449622
2/28/05,1.672860693,6.748394501,8.795444309,0.877986593,1.766468714,1.622807284,1.753668579,2.385307963,,2.005418004,1.885530887,3.864701919,2.304392194,,2.849453773,2.013668788,2.118150897,2.406943651,-0.666248512
3/31/05,-1.207414539,7.090704996,-6.565038844,-2.253114563,-1.026426274,-0.282431585,-0.531290894,-1.148069966,,-1.011549825,-0.540624938,-2.266043758,-0.319186835,,1.625714125,-2.787218685,1.937068376,-1.47547739,-0.626684296
