date,Buyout and Growth,Commodity,Emerging Markets Equities,Emerging Markets Fixed Income,Event Driven,Fund of Funds,Global Macro,Hedged Equity,Long/Short Credit,MultiStratHF,MultiStratPE,Non-US Developed Equities,PRIVATE DEBT,Private Real Asset,REAL ESTATE,REITs,Secondaries,US Equities,US Fixed Income
6/30/04,0.016572226,-0.047463499,0.004298864,0.009581072,0.014154106,0.015454417,-0.005776047,0.010299473,0.010869947,0.006247527,0.018844974,0.02222333,0.011138834,-0.002676071,0.00650933,0.042633667,0.012496214,0.022602128,0.005604887
7/31/04,-0.002904869,0.079387625,-0.019899716,0.007300212,-0.011697663,0.000721197,-0.003277199,-0.018925975,0.000172454,-0.011927604,-0.007703386,-0.033445299,-0.006806893,0.016533747,0.007371409,-0.027433631,0.010375862,-0.031768866,0.006983602
8/31/04,0.018630484,-0.011658896,0.040129946,0.024953227,0.00206701,0.015030338,-0.005066554,0.001242513,0.008005216,3.89E-05,0.014595266,0.008013716,0.005790188,-0.000486357,0.015897282,0.032057343,0.018306725,-0.000540576,0.01889124
9/30/04,0.029350491,0.107455946,0.056107874,0.01278202,0.023616756,0.019811762,0.026121517,0.024264028,0.017001506,0.023923856,0.025122811,0.026174587,0.021847858,0.021860984,0.023953223,0.018777457,0.028916946,0.005917015,0.004133683
10/31/04,0.039216642,0.039649133,0.023202361,0.01472174,0.018969425,0.015883044,0.011373183,0.012895822,0.013923726,0.011939034,0.026739716,0.032471582,0.02587368,0.011708711,0.025184184,0.03964435,0.029612538,0.017424355,0.008531297
11/30/04,0.047912613,-0.046438437,0.090303794,0.006871123,0.045481829,0.028264996,0.025851282,0.036042789,0.020098473,0.03030657,0.039869493,0.062182027,0.048899737,-0.002965261,0.029710854,0.054683069,0.041725407,0.039394965,-0.008854079
12/31/04,0.039640202,-0.102262544,0.047073676,0.022797938,0.023965393,0.014140435,0.00536846,0.017618799,0.014964568,0.014728288,0.027322748,0.043441223,0.037900747,-0.009073829,0.023363732,0.054136048,0.017505009,0.033046095,0.009969789
1/31/05,-0.012985304,0.064122694,0.001538888,0.002951305,-0.008915348,-0.004662457,-0.005351132,-0.006844572,-0.001103154,-0.004030247,-0.009562695,-0.022099034,0.000119693,0.01470345,0.010584214,-0.068369461,-0.002468668,-0.022624634,0.005501321
2/28/05,0.016505622,0.065297035,0.084259689,0.009035853,0.01735782,0.014934694,0.017433851,0.023547645,0.014178154,0.019890244,0.017680267,0.03705447,0.028937427,0.016075973,0.032370289,0.020216562,0.016161131,0.024172632,-0.006883931
3/31/05,-0.011931631,0.068185748,-0.067818453,-0.023242686,-0.010174828,-0.002344981,-0.005273879,-0.0116167,-0.012120147,-0.010217238,-0.005144206,-0.023037749,-0.004863606,0.022823403,0.020294345,-0.030794964,0.014036424,-0.014915795,-0.00608577
4/30/05,0.003592484,-0.091546747,-0.026416894,0.012607815,-0.023000468,-0.004267257,-0.010340226,-0.023012252,-0.007344192,-0.017034853,0.010083615,-0.019884268,-0.015809898,-0.006865293,0.016082393,0.032880984,-0.011136853,-0.020989969,0.015042068
