,Buyout and Growth,Commodity,Emerging Markets Fixed Income,Event Driven,Global Macro,Hedged Equity,Fund of Funds,Non-US Developed Equities,Emerging Markets Equities,US Fixed Income,US Equities,Long/Short Credit,MultiStratHF,Private Real Asset,PRIVATE DEBT,MultiStratPE,Secondaries,REAL ESTATE,REITs
Buyout and Growth,0.0027764327425619556,0.0019286319763536723,0.001762129758671019,0.0023332270859295046,0.00216816346684157,0.003321909659027175,0.003321909659027175,0.005039480017985064,0.005817654048589235,0.0004464137576865314,0.0050422624198729745,0.0022299358717542497,0.0024800680989001513,0.003187184214847142,0.0008475674750792433,0.0016573077509431057,0.0016573077509431057,0.00016512457461927913,0.0037925866705141808
Commodity,0.0019286319763536723,0.025325375686065223,0.001773989318060845,0.0017851870040092007,0.0012674065536426636,0.00250820018574646,0.00250820018574646,0.007476584959997282,0.010680062134209812,0.0003495475123983581,0.004666827253551426,0.0017678933050344868,0.001975458110977454,0.0029030504748226217,0.0009034642685046177,0.0016684618328731177,0.0016684618328731177,0.0,0.004363556223909607
Emerging Markets Fixed Income,0.001762129758671019,0.001773989318060845,0.008629459844952996,0.0022486808952108784,0.0016646093297439557,0.002129626052219958,0.002129626052219958,0.004676063002629391,0.00864757622605759,0.001136806742047109,0.005161601632288243,0.0015725359856788646,0.0016816611280233993,0.0035675891552937886,0.0006152783427639689,0.0013913362298857267,0.0013913362298857267,0.0,0.004775905292784582
Event Driven,0.0023332270859295046,0.0017851870040092007,0.0022486808952108784,0.003485815001905681,0.001253888443766118,0.002960818419679056,0.002960818419679056,0.005745759635459486,0.006774264882773602,0.0002964165017027151,0.005467560456758064,0.0019052010424641188,0.002320835690913979,0.003457841163394504,0.0009496922002069792,0.0021222849634864372,0.0021222849634864372,0.0002312758647383252,0.004047201281199891
Global Macro,0.00216816346684157,0.0012674065536426636,0.0016646093297439557,0.001253888443766118,0.004404671337819205,0.00190185898240225,0.00190185898240225,0.0020044561151890366,0.0025862076765449083,0.00022907603992323403,0.0016389545602615038,0.0011234805045314037,0.0018193290695091362,0.0010832500386491744,6.279694793732407e-05,0.0006958170754960628,0.0006958170754960628,0.0001039907933865047,0.0006824182768212424
Hedged Equity,0.003321909659027175,0.00250820018574646,0.002129626052219958,0.002960818419679056,0.00190185898240225,0.005132431161616145,0.005132431161616145,0.007452818574043715,0.008375089631142323,0.00040463579530416457,0.00762958355406622,0.002539189873478469,0.0030755181474688155,0.004746065143610257,0.0012201573886902065,0.0023606115919907462,0.0023606115919907462,0.0002806336292209902,0.005770348853278923
Fund of Funds,0.003321909659027175,0.00250820018574646,0.002129626052219958,0.002960818419679056,0.00190185898240225,0.005132431161616145,0.005132431161616145,0.007452818574043715,0.008375089631142323,0.00040463579530416457,0.00762958355406622,0.002539189873478469,0.0030755181474688155,0.004746065143610257,0.0012201573886902065,0.0023606115919907462,0.0023606115919907462,0.0002806336292209902,0.005770348853278923
Non-US Developed Equities,0.005039480017985064,0.007476584959997282,0.004676063002629391,0.005745759635459486,0.0020044561151890366,0.007452818574043715,0.007452818574043715,0.02815364215840184,0.025064008034650562,0.0008950482380889052,0.01709233534297418,0.004260566405692763,0.005901397126540191,0.010632472456632767,0.002540206706404934,0.005780100866514308,0.005780100866514308,0.0005258179725319178,0.014377386331179343
Emerging Markets Equities,0.005817654048589235,0.010680062134209812,0.00864757622605759,0.006774264882773602,0.0025862076765449083,0.008375089631142323,0.008375089631142323,0.025064008034650562,0.04686712082232771,0.001018956452318893,0.02105061860833297,0.005039014659832924,0.006382453037383279,0.013094765463993952,0.0026629270667970152,0.006484916984585795,0.006484916984585795,0.0005088192502904005,0.017808117799100607
US Fixed Income,0.0004464137576865314,0.0003495475123983581,0.001136806742047109,0.0002964165017027151,0.00022907603992323403,0.00040463579530416457,0.00040463579530416457,0.0008950482380889052,0.001018956452318893,0.000984601413532881,0.0009201825741293599,0.0006307723275005924,0.00032459278200563284,0.0009339313607798531,0.0001484506194927587,0.00023498520527309147,0.00023498520527309147,-4.9166394886508946e-05,0.0011292553777276428
US Equities,0.0050422624198729745,0.004666827253551426,0.005161601632288243,0.005467560456758064,0.0016389545602615038,0.00762958355406622,0.00762958355406622,0.01709233534297418,0.02105061860833297,0.0009201825741293599,0.023822116947910806,0.004164080919156499,0.005188982043898767,0.014670617984765079,0.0023366407229679677,0.006010406039024136,0.006010406039024136,0.0004836801998784554,0.016399269799637503
Long/Short Credit,0.0022299358717542497,0.0017678933050344868,0.0015725359856788646,0.0019052010424641188,0.0011234805045314037,0.002539189873478469,0.002539189873478469,0.004260566405692763,0.005039014659832924,0.0006307723275005924,0.004164080919156499,0.0027984504157459243,0.0020794622248300064,0.0027934733679460654,0.0009510299445982373,0.0012677075558522309,0.0012677075558522309,-4.144450433273407e-05,0.003807594964245683
MultiStratHF,0.0024800680989001513,0.001975458110977454,0.0016816611280233993,0.002320835690913979,0.0018193290695091362,0.0030755181474688155,0.0030755181474688155,0.005901397126540191,0.006382453037383279,0.00032459278200563284,0.005188982043898767,0.0020794622248300064,0.002675206247980816,0.003227862521571345,0.0009298524045132242,0.001936684745253269,0.001936684745253269,0.0002026080894010734,0.003722807418447773
Private Real Asset,0.003187184214847142,0.0029030504748226217,0.0035675891552937886,0.003457841163394504,0.0010832500386491744,0.004746065143610257,0.004746065143610257,0.010632472456632767,0.013094765463993952,0.0009339313607798531,0.014670617984765079,0.0027934733679460654,0.003227862521571345,0.009218198915148303,0.001453532687574823,0.003595036750772653,0.003595036750772653,0.00030087851073786864,0.010201343523558244
PRIVATE DEBT,0.0008475674750792433,0.0009034642685046177,0.0006152783427639689,0.0009496922002069792,6.279694793732407e-05,0.0012201573886902065,0.0012201573886902065,0.002540206706404934,0.0026629270667970152,0.0001484506194927587,0.0023366407229679677,0.0009510299445982373,0.0009298524045132242,0.001453532687574823,0.00895289652234401,0.0019840385496485763,0.0019840385496485763,0.00022238791287955355,0.002270139071304505
MultiStratPE,0.0016573077509431057,0.0016684618328731177,0.0013913362298857267,0.0021222849634864372,0.0006958170754960628,0.0023606115919907462,0.0023606115919907462,0.005780100866514308,0.006484916984585795,0.00023498520527309147,0.006010406039024136,0.0012677075558522309,0.001936684745253269,0.003595036750772653,0.0019840385496485763,0.022432649776159566,0.022432649776159566,0.0005867031692291163,0.004620143218980619
Secondaries,0.0016573077509431057,0.0016684618328731177,0.0013913362298857267,0.0021222849634864372,0.0006958170754960628,0.0023606115919907462,0.0023606115919907462,0.005780100866514308,0.006484916984585795,0.00023498520527309147,0.006010406039024136,0.0012677075558522309,0.001936684745253269,0.003595036750772653,0.0019840385496485763,0.022432649776159566,0.022432649776159566,0.0005867031692291163,0.004620143218980619
REAL ESTATE,0.00016512457461927913,0.0,0.0,0.0002312758647383252,0.0001039907933865047,0.0002806336292209902,0.0002806336292209902,0.0005258179725319178,0.0005088192502904005,-4.9166394886508946e-05,0.0004836801998784554,-4.144450433273407e-05,0.0002026080894010734,0.00030087851073786864,0.00022238791287955355,0.0005867031692291163,0.0005867031692291163,0.00613785018209149,0.00040278384347757005
REITs,0.0037925866705141808,0.004363556223909607,0.004775905292784582,0.004047201281199891,0.0006824182768212424,0.005770348853278923,0.005770348853278923,0.014377386331179343,0.017808117799100607,0.0011292553777276428,0.016399269799637503,0.003807594964245683,0.003722807418447773,0.010201343523558244,0.002270139071304505,0.004620143218980619,0.004620143218980619,0.00040278384347757005,0.02936873837537141
