date,PRIVATE DEBT,REAL ESTATE,Private Real Asset,Buyout and Growth,Fund of Funds,Secondaries,MultiStratPE
3/31/01,0.55,3.13,,-7.75,-7.84,-6.67,-7.7
6/30/01,1.869716559,1.270241443,,-1.859552212,-3.244357639,1.050037501,-1.397616468
9/30/01,1.044615835,0.124473382,,-5.742470454,-10.69866547,1.781359347,-6.603669926
12/31/01,0.425120773,2.534187626,,-3.367104105,-7.446942107,-0.458381081,-2.164705882
3/31/02,2.693861843,2.639432942,,-2.486564193,-6.010854817,4.667713239,-2.958152958
6/30/02,-1.433389545,-0.009086779,,-3.317280849,-1.183773639,1.499850015,-3.370508055
9/30/02,3.74489117,1.463104326,,-4.637963249,-5.244704164,-4.659639444,-6.411900487
12/31/02,0.219880898,2.212270488,,-2.746600859,1.171754548,-0.640628229,-0.35626199
3/31/03,1.581497395,4.118471784,,-1.952442775,-3.078329778,-2.163061564,-2.00770077
6/30/03,5.138588913,-0.067328733,,4.350814848,2.169811321,3.25255102,5.500982318
9/30/03,2.9444492,3.360282971,,6.33893872,12.57309942,0.658842907,2.59377494
12/31/03,4.506526981,4.5791575,,5.164554147,2.583732057,3.896502352,7.77907429
3/31/04,7.176386347,3.054148812,,3.107827329,5.796908316,13.31823998,2.574281246
6/30/04,1.521787544,5.995312618,,1.275580627,-8.111852878,7.635510771,2.486220242
9/30/04,6.164083065,3.808844508,,5.242402808,1.603838245,5.148898394,3.375672274
12/31/04,10.71699153,7.990930328,,13.91107094,5.450620615,7.299102003,9.442107594
3/31/05,5.766718507,6.540688427,,0.509809863,2.456499488,8.311874106,1.496915141
6/30/05,0.576402776,8.414452075,,4.361745017,1.635864136,-0.165103685,5.779770802
9/30/05,3.32748538,7.447394514,,3.960123043,6.364418233,3.810279817,5.463966086
12/31/05,2.716622333,11.19655491,,9.09984051,5.105694813,12.69992991,7.217507816
3/31/06,3.024960053,7.625633933,,4.617287325,3.780635235,0.944249689,5.007081563
6/30/06,6.2306129,5.945853324,,2.798128521,4.246531823,4.873130566,2.991113932
9/30/06,1.419725117,5.409995148,,5.142843236,2.651361235,5.154088554,4.036668978
12/31/06,5.524944155,17.38780207,,6.769889795,7.758535379,3.926249492,9.72972973
3/31/07,2.079217236,2.999705911,,5.162394697,4.380567545,7.213723669,5.870841487
6/30/07,8.493087558,6.925541702,,9.734715975,4.047158191,5.333454894,8.566511569
9/30/07,2.255447479,-0.537028246,,10.78508069,4.802976492,5.444237677,3.317090354
12/31/07,-0.228462241,-2.887569728,,3.684184156,3.824431176,4.366919762,3.096942834
3/31/08,-1.711145343,-3.087083397,3.1,-2.694568038,-1.383276344,3.287585041,-1.510224329
6/30/08,0.779396815,-2.196513471,6.17266859,-2.043177699,1.21355398,-1.222158766,-0.878616599
9/30/08,-9.604068594,-3.837054801,2.054975363,-8.272787136,-2.87293678,-2.254856614,-7.61630533
12/31/08,-15.84135398,-23.07484919,-7.062470971,-14.2888519,-8.248496994,-9.085531764,-14.9483591
3/31/09,-2.209944751,-6.956978884,-10.62112408,-3.986662746,-4.76148873,-6.419431794,-4.296903068
6/30/09,8.593220339,-11.11215745,-4.434229519,4.319013729,-2.064030823,-3.017381228,1.922066221
9/30/09,10.67582332,-1.9387647,0.738369824,6.017916171,1.760959161,-0.683425731,4.987108656
12/31/09,6.06402482,-4.55920484,7.55801577,6.494450537,5.016568483,2.141379144,5.423800168
3/31/10,4.644772415,0.033959701,1.913638628,5.106880332,5.741081602,3.580514463,3.600665557
