Fund Name,Historical Return
Ironwood Multi-Strategy Fund LLC,4.630412
"AMG Pantheon Fund, LLC",11.376003
Carlyle Tactical Private Credit Fund,5.113304
Blue Owl Credit Income Corp.,9.456549
"iCapital Multi-Strategy Fund, L.P.",10.421439
"iCapital Third Point Fund, L.P.",6.906217
iDirect Private Markets Fund,9.807358
Invesco Real Estate Income Trust Inc. (INREIT),6.405194
"iCapital-WorldQuant Millennium SEALS, L.P.",5.3254
"Nuveen Global Cities REIT, Inc.",7.960824
Blue Owl Real Estate Net Lease Trust,6.660139
KKR Credit Opportunities Portfolio — KKR Credit Opportunities Portfolio USD Cls I,7.29907
