,US Equities,Non-US Developed Equities,Emerging Markets Equities,US Fixed Income,Non-US Developed Fixed Income,Emerging Markets Fixed Income,Commodity,REITs,Cash,Private Equity,Private Credit,Private Real Estate,Hedge Funds
1984-03-31,1.349802623,9.186861931,,,,,4.90946715,,,,,,
1984-04-30,0.546551074,-1.842314119,,,,,-1.124315795,,,,,,
1984-05-31,-5.935645111,-10.338300663,,,,,2.903845195,,,,,,
1984-06-30,1.746927931,-0.323870728,,,,,-2.25970218,,,,,,
1984-07-31,-1.645123384,-6.606696647,,,,,-6.71641791,,,,,,
1984-08-31,10.633213859,8.263228194,,,,,4.292358804,,,,,,
1984-09-30,-0.347972162,-1.069737564,,,,,-0.784913354,,,,,,
1984-10-31,-0.00602047,2.31161743,,,,,0.457207439,,,,,,
1984-11-30,-1.511228852,0.194456652,,,,,0.379698287,,,,,,
1984-12-31,2.23743734,1.829322658,,,,,-1.991925316,,,,,,
1985-01-31,7.408514709,2.070003498,,,,,1.261809156,,,,,,
1985-02-28,0.862884819,-0.760569736,,,,,-1.312817617,,,,,,
1985-03-31,-0.287007396,7.568289904,,,,,4.32244054,,,,,,
1985-04-30,-0.459426547,-0.521066003,,,,,-3.23465254,,,,,,
1985-05-31,5.405104821,4.066515345,,,,,-0.010305294,,,,,,
1985-06-30,1.213400158,2.390014384,,,,,-2.914122285,,,,,,
1985-07-31,-0.484753714,4.975679756,,,,,-2.247876858,,,,,,
1985-08-31,-1.199455269,3.032345175,,,,,1.497298618,,,,,,
1985-09-30,-3.472406298,5.670512161,,,,,5.686848828,,,,,,
1985-10-31,4.250878735,6.627809671,,,,,7.241113122,,,,,,
1985-11-30,6.506163734,3.933870711,,,,,1.740556742,,,,,,
1985-12-31,4.50610872,4.569666307,,,,,-1.809366954,,,,,,
1986-01-31,0.236652783,2.345684036,,,,,-9.072975974,,,,,,
1986-02-28,7.148928133,10.90993087,,,,,-3.484157606,,,,,,
1986-03-31,5.279393619,13.908443089,,,,,-0.222087624,,,,,,
1986-04-30,-1.414817915,6.402945542,,,,,5.633346823,,,,,,
1986-05-31,5.022927989,-4.578029991,,,,,-3.754501571,,,,,,
1986-06-30,1.410956135,6.672889024,,,,,3.781546055,,,,,,
1986-07-31,-5.868282571,6.027573983,,,,,0.965275647,,,,,,
