date,US Equities,Non-US Developed Equities,Emerging Markets Equities,Commodity,REITs,US Fixed Income,Emerging Markets Fixed Income,Cash,Event Driven,Global Macro,Hedged Equity,Long/Short Credit,Multi-Strategy
3/31/84,,,,4.90946715,,-1.122391715,,,,,,,
4/30/84,,,,-1.124315795,,-0.196068314,,,,,,,
5/31/84,,,,2.903845195,,-3.117406814,,,,,,,
6/30/84,,,,-2.25970218,,1.280683031,,,,,,,
7/31/84,,,,-6.71641791,,4.49947313,,,,,,,
8/31/84,,,,4.292358804,,1.683977009,,,,,,,
9/30/84,,,,-0.784913354,,2.375049583,,,,,,,
10/31/84,,,,0.457207439,,4.24274713,,,,,,,
11/30/84,,,,0.379698287,,1.788784091,,,,,,,
12/31/84,,,,-1.991925316,,1.460653643,,,,,,,
1/31/85,,,,1.261809156,,2.276408134,,,,,,,
2/28/85,,,,-1.312817617,,-2.045394563,,,,,,,
3/31/85,,,,4.32244054,,2.038708519,,,,,,,
4/30/85,,,,-3.23465254,,2.068388857,,,,,,,
5/31/85,,,,-0.010305294,,5.225714655,,,,,,,
6/30/85,,,,-2.914122285,,1.057160418,,,,,,,
7/31/85,,,,-2.247876858,,-0.348700483,,,,,,,
8/31/85,,,,1.497298618,,1.879806323,,,,,,,
9/30/85,,,,5.686848828,,0.603059228,,,,,,,
10/31/85,,,,7.241113122,,2.096069869,,,,,,,
11/30/85,,,,1.740556742,,2.402986235,,,,,,,
12/31/85,,,,-1.809366954,,3.056652491,,,,,,,
1/31/86,,,,-9.072975974,,0.556353856,,,,,,,
2/28/86,,,,-3.484157606,,3.942547267,,,,,,,
3/31/86,,,,-0.222087624,,3.105611957,,,,,,,
4/30/86,,,,5.633346823,,0.529932647,,,,,,,
5/31/86,,,,-3.754501571,,-1.911304584,,,,,,,
6/30/86,,,,3.781546055,,2.617710284,,,,,,,
7/31/86,,,,0.965275647,,0.885224854,,,,,,,
8/31/86,,,,8.585430095,,2.485012894,,,,,,,
9/30/86,,,,-2.527084232,,-0.986895853,,,,,,,
10/31/86,,,,1.052833078,,1.445592264,,,,,,,
11/30/86,,,,3.027325251,,1.398965416,,,,,,,
12/31/86,,,,-0.726261477,,0.375397055,,,,,,,
1/31/87,,,,5.720635729,,1.409666283,,,,,,,
2/28/87,,,,-6.004532963,,0.693459417,,,,,,,
3/31/87,,,,8.078325393,,-0.450774769,,,,,,,
4/30/87,,,,5.023603716,,-2.742052137,,,,,,,
5/31/87,,,,4.617058178,,-0.391218597,,,,,,,
6/30/87,,,,3.573600675,,1.376265905,,,,,,,
7/31/87,,,,4.462755126,,-0.076844262,,,,,,,
8/31/87,,,,-2.025440402,,-0.5351192,,,,,,,
9/30/87,,,,0.737532736,,-2.129441706,,,,,,,
10/31/87,,,,1.051809664,,3.561553654,,,,,,,
11/30/87,,,,-0.020908141,,0.800966245,,,,,,,
12/31/87,,,,-2.777727264,,1.362174434,,,,,,,
1/31/88,,,9.84,2.657888092,,3.515211846,,,,,,,
2/29/88,4.661459648,,0.336853605,-1.105047873,,1.187041712,,,,,,,
3/31/88,-3.089340384,,10.74312676,5.041637496,,-0.938493065,,,,,,,
4/30/88,1.105877848,,5.333879558,3.099211604,,-0.539649228,,,,,,,
5/31/88,0.865027004,,2.994710641,3.531723416,,-0.672192916,,,,,,,
6/30/88,4.589181517,,3.398534854,-2.793410837,,2.412600146,,,,,,,
7/31/88,-0.379473261,,-2.541815791,0.591640958,,-0.524491066,,,,,,,
8/31/88,-3.394753628,,-2.675560219,-0.675545099,,0.262138814,,,,,,,
9/30/88,4.260502039,,6.476205144,-2.73071034,,2.263949135,,,,,,,
10/31/88,2.784377147,,-0.643668185,4.840715584,,1.88262638,,,,,,,
11/30/88,-1.425140112,,-0.429465716,5.746211084,,-1.214782708,,,,,,,
12/31/88,1.744498121,,2.661013232,7.311964605,,0.112580105,,,,,,,
1/31/89,7.322745005,,-1.260414441,0.411558733,,1.438828177,,,,,,,
2/28/89,-2.492125195,,7.644598298,4.301106581,,-0.724843661,,,,,,,
3/31/89,2.332939756,,9.969181294,6.746796214,,0.432355047,,,,,,,
4/30/89,5.192161845,,18.97770196,3.175879791,,2.092598928,,,,,,,
5/31/89,4.045760132,,1.346715142,-1.278273159,,2.62775761,,,,,,,
6/30/89,-0.56708312,,-12.13116411,3.496732446,,3.044815107,,,,,,,
7/31/89,9.028882178,,6.572365016,-2.809807655,,2.125693161,,,,,,,
8/31/89,1.954957047,,2.325455919,3.474353983,,-1.481577246,,,,,,,
9/30/89,-0.405624082,,12.60216188,5.956147655,,0.511784158,,,,,,,
10/31/89,-2.322065541,,1.400140482,-0.703758033,,2.462333864,,,,,,,
11/30/89,2.039349391,,-4.659647178,1.613290891,,0.953109072,,,,,,,
12/31/89,2.401548132,,12.20634536,9.132027577,,0.267582168,,,,,,,
1/31/90,-6.713625665,,3.289445284,-0.437715422,,-1.188318228,,,-5.69,-1.23,-3.34,,-2.11
2/28/90,1.288054453,,3.924436829,-0.326544049,,0.323583367,,,1.69,0.48,2.85,,1.54
3/31/90,2.649821839,,-13.53253438,0.73193729,,0.073650794,,,4.92,3.54,5.67,,3.21
4/30/90,-2.494760123,,7.213617971,-1.048679235,,-0.916150645,,,1.16,-0.74,-0.87,,-0.04
5/31/90,9.750492385,,8.216206837,-0.738595066,,2.96083805,,,1.93,3.98,5.92,,3.05
6/30/90,-0.674604857,,3.455463802,-1.547945943,,1.604517525,,,1.37,1.65,2.52,,2.1
7/31/90,-0.320700059,,8.818970862,8.253534221,,1.383312114,,,1.14,3.83,2,,1.5
8/31/90,-9.039064618,,-12.75815411,16.58928905,,-1.335458475,,,-4.53,-3.78,-1.88,,-3.45
9/30/90,-4.866550589,,-12.77090731,22.93996577,,0.827295868,,,-2.78,-0.98,1.65,,-1.96
10/31/90,-0.425888975,,-1.857570653,-6.051591847,,1.269602369,,,-1.6,2.6,0.77,,-0.04
11/30/90,6.464117588,,-5.215733015,-6.564074476,,2.15259966,,,0.8,1.14,-2.29,,0.75
12/31/90,2.785685488,,4.225139581,-1.964185337,,1.558136806,,,1.63,1.71,1.02,,1.35
1/31/91,4.355015473,,8.083586699,-9.387675699,,1.236165346,,,1,-0.25,4.9,,2.59
2/28/91,7.151516636,,14.79282015,1.39048653,,0.853608436,,,4.42,6.31,5.2,,4.02
3/31/91,2.421584814,,4.111400677,3.764175449,,0.687969585,,,3.37,6.85,7.22,,4.95
4/30/91,0.236632564,,1.053575432,2.265058647,,1.083340825,,,3.06,-1.68,0.47,,1.34
5/31/91,4.314089465,,7.845312038,-0.051210117,,0.584782319,,,2.85,0.01,3.2,,1.98
6/30/91,-4.581388825,,-3.572163181,-2.367884598,,-0.050843336,,,0.24,2.62,0.59,,0.41
7/31/91,4.660927577,,5.183447099,5.105745826,,1.386738621,,,2.33,2.43,1.41,,2.62
8/31/91,2.36920374,,2.109105658,1.541718139,,2.164001658,,,1.26,6.7,2.17,,2.06
9/30/91,-1.673503877,,-3.833167825,0.789246944,,2.026348942,,,1.48,5.96,4.3,,2.32
10/31/91,1.344474125,,4.078893019,2.868322662,,1.113389979,,,2.34,2.33,1.16,,1.83
11/30/91,-4.029257964,,-1.484935675,-4.038972776,,0.916918492,,,0.52,0.75,-1.08,,0.27
12/31/91,11.43655851,,11.23606822,-7.078592966,,2.969829973,,,1.69,7.44,5.02,,3.95
1/31/92,-1.863507364,,11.57688245,2.74902919,,-1.360422269,,,4.21,2.8,2.49,,3.84
2/29/92,1.295105622,,4.441318872,-1.096562282,,0.650619926,,,2.13,0.34,2.9,,2.14
3/31/92,-1.944855526,,3.38487038,1.117564774,,-0.563355415,,,1.59,0.32,-0.28,,0.59
4/30/92,2.936098972,,-0.696392786,2.996419277,,0.721540492,,,0.33,1.12,0.27,,0.3
5/31/92,0.490186809,,-0.358205943,2.686751756,,1.887060801,,,1.01,6.99,0.85,,1.84
6/30/92,-1.487725187,,-9.918987342,-0.55125716,,1.375969122,,,0.11,0.87,-0.92,,-0.41
7/31/92,4.085204868,,1.087628576,-1.393472503,,2.04111792,,0.333,1.22,1.71,2.76,,2.08
8/31/92,-2.046557608,,-4.662348133,0.104519646,,1.012232545,,0.269103884,0.24,-1.06,-0.85,,-0.27
9/30/92,1.175030892,,0.341187449,1.146634407,,1.186367043,,0.300189855,1.36,2.28,2.51,,1.94
10/31/92,0.345480991,,5.350344387,-2.198736613,,-1.326645407,,0.225955106,0.96,4.66,2.03,,2.11
11/30/92,3.405075268,,-1.07862069,-1.278725855,,0.022839892,,0.223468106,1.71,3.13,4.51,,2.8
12/31/92,1.227231723,,2.939289997,0.225136564,,1.590288254,,0.296964256,3.12,1.37,3.38,,2.53
1/31/93,0.836087713,,0.484924011,1.212488405,,1.91774115,,0.262640173,3.07,0.91,2.09,,2.32
2/28/93,1.362917815,,1.676911463,1.161798935,,1.749221004,,0.222708409,1.63,5.17,-0.57,,1.34
3/31/93,2.109924894,,3.306464443,2.084132516,,0.4182657,,0.274095973,3.85,5.54,3.26,,3.06
4/30/93,-2.417121944,,2.299735633,-1.07447961,,0.695505952,,0.239178398,1.21,2.69,1.3,,1.49
5/31/93,2.675073526,,2.787465188,-2.782658453,,0.126775216,,0.214259975,1.88,2.99,2.72,,2.6
6/30/93,0.292870634,,2.96328842,-3.129582767,,1.812119895,,0.288632543,2.99,7.15,3.01,,2.62
7/31/93,-0.402241617,,2.643307572,-0.864635424,,0.565471848,,0.25291678,2.1,3.71,2.12,,2.09
8/31/93,3.794301472,,8.444003049,0.823222145,,1.753883238,,0.266777502,2.79,3.71,3.84,,2.93
9/30/93,-0.766893612,,3.656848338,0.254708326,,0.274562297,,0.262211639,0.87,-0.66,2.52,,1.58
10/31/93,2.06857333,,8.972673105,-3.592998479,,0.37317969,,0.233642613,1.68,4.8,3.11,,3.18
11/30/93,-0.953129493,,4.425212587,-5.015461779,,-0.850164578,,0.259957026,0.16,-0.01,-1.93,,0.15
12/31/93,1.20901758,,16.5282392,-1.881182655,,0.541972177,,0.280331806,2.95,7.88,3.59,,3.91
1/31/94,3.399723443,,1.820632805,8.142115151,,1.350178301,,0.249971377,3.51,2.11,2.35,,2.5
2/28/94,-2.714225266,,-1.778947849,-2.174255075,,-1.737362514,,0.216989931,-0.49,-6.4,-0.4,,-0.55
3/31/94,-4.359689614,,-9.049640555,-1.190511588,,-2.465729251,,0.274448728,-0.55,-3.43,-2.08,,-1.51
4/30/94,1.282346786,,-1.999897791,2.618985525,,-0.798459759,,0.261385914,-0.7,-1.2,-0.37,,-0.59
5/31/94,1.641139753,,3.422621634,1.487870179,,-0.013818997,,0.330603493,0.94,2.25,0.41,,0.68
6/30/94,-2.451228822,,-2.756395173,2.459918519,,-0.221274831,,0.359641112,1.12,0.15,-0.41,,0.27
7/31/94,3.283741633,,6.216944934,1.721577227,,1.986837153,,0.317076145,1.56,0.71,0.91,,1.35
8/31/94,4.099950898,,12.41233423,-6.739897106,,0.123441895,,0.373116882,1.81,2.6,1.27,,2.46
9/30/94,-2.445409269,,1.136314289,-0.941021427,,-1.471661099,,0.365208318,0.41,-0.12,1.32,,0.89
10/31/94,2.246633306,,-1.803400698,0.450586854,,-0.089594087,,0.410292589,-0.4,-0.11,0.4,,-0.03
