name,date,value,in counts,master version,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,1/31/21,0.7296607,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,2/28/21,0.5703836,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,3/31/21,1.0965145,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,4/30/21,0.8363696,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,5/31/21,0.9900888,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,6/30/21,1.1405032,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,7/31/21,0.6834078,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,8/31/21,2.2556276,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,9/30/21,7.09582,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,10/31/21,0.41981822,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,11/30/21,3.097769,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,12/31/21,1.7830821,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,1/31/22,1.3953574,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,2/28/22,3.3201036,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,3/31/22,1.453779,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,4/30/22,4.5714726,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,5/31/22,1.5805668,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,6/30/22,0.01677256,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,7/31/22,1.2801197,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,8/31/22,0.6983937,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,9/30/22,0.47569102,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,10/31/22,0.43194118,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,11/30/22,-1.9380982,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,12/31/22,-1.12614,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,1/31/23,0.047550958,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,2/28/23,-0.21548924,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,3/31/23,-1.6002549,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,4/30/23,0.39261502,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,5/31/23,-0.6936,valid,.,,,,,,,,,,,,,,,
Brookfield REIT iCapital Offshore Access Fund SP 1,6/30/23,-1.3978,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/10,2.19,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/10,2.2300029,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/10,1.359994,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/10,0.54000574,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/11,3.0100012,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/28/11,2.5799994,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/11,-0.13000545,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/11,2.5299993,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/11,3.100004,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/11,-0.57000357,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/11,2.89,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/11,2.3200028,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/11,1.2900017,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/11,-0.61000353,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/11,0.2899983,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/11,0.5800005,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/12,3.0600019,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/29/12,2.1000037,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/12,1.269999,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/12,1.1200013,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/12,0.40000024,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/12,0.22999556,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/12,1.9400008,valid,.,,,,,,,,,,,,,,,
