date,asset,value
3/31/84,US Equities,
4/30/84,US Equities,
5/31/84,US Equities,
6/30/84,US Equities,
7/31/84,US Equities,
8/31/84,US Equities,
9/30/84,US Equities,
10/31/84,US Equities,
11/30/84,US Equities,
12/31/84,US Equities,
1/31/85,US Equities,
2/28/85,US Equities,
3/31/85,US Equities,
4/30/85,US Equities,
5/31/85,US Equities,
6/30/85,US Equities,
7/31/85,US Equities,
8/31/85,US Equities,
9/30/85,US Equities,
10/31/85,US Equities,
11/30/85,US Equities,
12/31/85,US Equities,
1/31/86,US Equities,
2/28/86,US Equities,
3/31/86,US Equities,
4/30/86,US Equities,
5/31/86,US Equities,
6/30/86,US Equities,
7/31/86,US Equities,
8/31/86,US Equities,
9/30/86,US Equities,
10/31/86,US Equities,
11/30/86,US Equities,
12/31/86,US Equities,
1/31/87,US Equities,
2/28/87,US Equities,
3/31/87,US Equities,
4/30/87,US Equities,
5/31/87,US Equities,
6/30/87,US Equities,
7/31/87,US Equities,
8/31/87,US Equities,
9/30/87,US Equities,
10/31/87,US Equities,
11/30/87,US Equities,
12/31/87,US Equities,
1/31/88,US Equities,
2/29/88,US Equities,4.661459648
3/31/88,US Equities,-3.089340384
4/30/88,US Equities,1.105877848
5/31/88,US Equities,0.865027004
6/30/88,US Equities,4.589181517
7/31/88,US Equities,-0.379473261
8/31/88,US Equities,-3.394753628
9/30/88,US Equities,4.260502039
10/31/88,US Equities,2.784377147
11/30/88,US Equities,-1.425140112
12/31/88,US Equities,1.744498121
1/31/89,US Equities,7.322745005
2/28/89,US Equities,-2.492125195
3/31/89,US Equities,2.332939756
4/30/89,US Equities,5.192161845
5/31/89,US Equities,4.045760132
6/30/89,US Equities,-0.56708312
7/31/89,US Equities,9.028882178
8/31/89,US Equities,1.954957047
9/30/89,US Equities,-0.405624082
10/31/89,US Equities,-2.322065541
11/30/89,US Equities,2.039349391
12/31/89,US Equities,2.401548132
1/31/90,US Equities,-6.713625665
2/28/90,US Equities,1.288054453
3/31/90,US Equities,2.649821839
4/30/90,US Equities,-2.494760123
5/31/90,US Equities,9.750492385
6/30/90,US Equities,-0.674604857
7/31/90,US Equities,-0.320700059
8/31/90,US Equities,-9.039064618
9/30/90,US Equities,-4.866550589
10/31/90,US Equities,-0.425888975
11/30/90,US Equities,6.464117588
12/31/90,US Equities,2.785685488
1/31/91,US Equities,4.355015473
2/28/91,US Equities,7.151516636
3/31/91,US Equities,2.421584814
4/30/91,US Equities,0.236632564
5/31/91,US Equities,4.314089465
6/30/91,US Equities,-4.581388825
7/31/91,US Equities,4.660927577
8/31/91,US Equities,2.36920374
9/30/91,US Equities,-1.673503877
10/31/91,US Equities,1.344474125
11/30/91,US Equities,-4.029257964
12/31/91,US Equities,11.43655851
1/31/92,US Equities,-1.863507364
2/29/92,US Equities,1.295105622
3/31/92,US Equities,-1.944855526
4/30/92,US Equities,2.936098972
5/31/92,US Equities,0.490186809
6/30/92,US Equities,-1.487725187
7/31/92,US Equities,4.085204868
8/31/92,US Equities,-2.046557608
9/30/92,US Equities,1.175030892
10/31/92,US Equities,0.345480991
11/30/92,US Equities,3.405075268
12/31/92,US Equities,1.227231723
1/31/93,US Equities,0.836087713
2/28/93,US Equities,1.362917815
3/31/93,US Equities,2.109924894
4/30/93,US Equities,-2.417121944
5/31/93,US Equities,2.675073526
6/30/93,US Equities,0.292870634
7/31/93,US Equities,-0.402241617
8/31/93,US Equities,3.794301472
9/30/93,US Equities,-0.766893612
10/31/93,US Equities,2.06857333
11/30/93,US Equities,-0.953129493
12/31/93,US Equities,1.20901758
1/31/94,US Equities,3.399723443
2/28/94,US Equities,-2.714225266
3/31/94,US Equities,-4.359689614
4/30/94,US Equities,1.282346786
5/31/94,US Equities,1.641139753
6/30/94,US Equities,-2.451228822
7/31/94,US Equities,3.283741633
8/31/94,US Equities,4.099950898
9/30/94,US Equities,-2.445409269
10/31/94,US Equities,2.246633306
11/30/94,US Equities,-3.641867617
12/31/94,US Equities,1.483332778
1/31/95,US Equities,2.593359897
2/28/95,US Equities,3.897093806
3/31/95,US Equities,2.950806368
4/30/95,US Equities,2.944661132
5/31/95,US Equities,3.996718758
6/30/95,US Equities,2.322753659
7/31/95,US Equities,3.31625502
8/31/95,US Equities,0.251434405
9/30/95,US Equities,4.22022242
10/31/95,US Equities,-0.357451445
11/30/95,US Equities,4.389853735
12/31/95,US Equities,1.92618721
1/31/96,US Equities,3.403633065
2/29/96,US Equities,0.927142744
3/31/96,US Equities,0.962528856
4/30/96,US Equities,1.474376119
5/31/96,US Equities,2.578933323
6/30/96,US Equities,0.381492305
7/31/96,US Equities,-4.418022408
8/31/96,US Equities,2.109426919
9/30/96,US Equities,5.628483874
10/31/96,US Equities,2.758079838
11/30/96,US Equities,7.558693263
12/31/96,US Equities,-1.981482398
1/31/97,US Equities,6.247541449
2/28/97,US Equities,0.783741791
3/31/97,US Equities,-4.108822833
4/30/97,US Equities,5.969847463
5/31/97,US Equities,6.088351173
6/30/97,US Equities,4.48020359
7/31/97,US Equities,7.956750389
8/31/97,US Equities,-5.602182004
9/30/97,US Equities,5.476642994
10/31/97,US Equities,-3.339722982
11/30/97,US Equities,4.62928161
12/31/97,US Equities,1.71738055
1/31/98,US Equities,1.106056614
2/28/98,US Equities,7.212498508
3/31/98,US Equities,5.120872516
4/30/98,US Equities,1.00606251
5/31/98,US Equities,-1.718778514
6/30/98,US Equities,4.061888653
7/31/98,US Equities,-1.06485154
8/31/98,US Equities,-14.45775597
9/30/98,US Equities,6.406110934
10/31/98,US Equities,8.134152387
11/30/98,US Equities,6.060796373
12/31/98,US Equities,5.762491173
1/31/99,US Equities,4.181626696
2/28/99,US Equities,-3.107891018
3/31/99,US Equities,4.000873905
4/30/99,US Equities,3.872520615
5/31/99,US Equities,-2.361356749
6/30/99,US Equities,5.549774737
7/31/99,US Equities,-3.122475235
8/31/99,US Equities,-0.494747114
9/30/99,US Equities,-2.741387563
10/31/99,US Equities,6.328067938
11/30/99,US Equities,2.032804736
12/31/99,US Equities,5.889611553
1/31/00,US Equities,-5.024244081
2/29/00,US Equities,-1.892948919
3/31/00,US Equities,9.782888644
4/30/00,US Equities,-3.008584896
5/31/00,US Equities,-2.051702347
6/30/00,US Equities,2.465305842
7/31/00,US Equities,-1.563400939
8/31/00,US Equities,6.211441912
9/30/00,US Equities,-5.279333529
10/31/00,US Equities,-0.422794534
11/30/00,US Equities,-7.883925505
12/31/00,US Equities,0.48941264
1/31/01,US Equities,3.5479075
2/28/01,US Equities,-9.118165294
3/31/01,US Equities,-6.335023794
4/30/01,US Equities,7.771039571
5/31/01,US Equities,0.669963958
6/30/01,US Equities,-2.433865072
7/31/01,US Equities,-0.984419019
8/31/01,US Equities,-6.260162702
9/30/01,US Equities,-8.075230117
10/31/01,US Equities,1.906876664
11/30/01,US Equities,7.670627983
12/31/01,US Equities,0.876044212
1/31/02,US Equities,-1.459333501
2/28/02,US Equities,-1.928495427
3/31/02,US Equities,3.760911352
4/30/02,US Equities,-6.062790924
5/31/02,US Equities,-0.73673259
6/30/02,US Equities,-7.122957895
7/31/02,US Equities,-7.795441282
8/31/02,US Equities,0.656561839
9/30/02,US Equities,-10.86793302
10/31/02,US Equities,8.801572081
11/30/02,US Equities,5.885915142
12/31/02,US Equities,-5.874758385
1/31/03,US Equities,-2.619657537
2/28/03,US Equities,-1.500377238
3/31/03,US Equities,0.970926033
4/30/03,US Equities,8.236985926
5/31/03,US Equities,5.268769519
6/30/03,US Equities,1.275640493
7/31/03,US Equities,1.763163634
8/31/03,US Equities,1.950200833
9/30/03,US Equities,-1.061949263
10/31/03,US Equities,5.656998204
11/30/03,US Equities,0.879834805
12/31/03,US Equities,5.24444547
1/31/04,US Equities,1.835516143
2/29/04,US Equities,1.389950518
3/31/04,US Equities,-1.5086531
4/30/04,US Equities,-1.56980089
5/31/04,US Equities,1.372258929
6/30/04,US Equities,1.94448798
7/31/04,US Equities,-3.309664804
8/31/04,US Equities,0.404487975
9/30/04,US Equities,1.083077478
10/31/04,US Equities,1.527678358
11/30/04,US Equities,4.046163913
12/31/04,US Equities,3.402872771
1/31/05,US Equities,-2.437473594
2/28/05,US Equities,2.104393262
3/31/05,US Equities,-1.770799753
4/30/05,US Equities,-1.896561437
5/31/05,US Equities,3.181858308
6/30/05,US Equities,0.141966975
7/31/05,US Equities,3.718821977
8/31/05,US Equities,-0.912395689
9/30/05,US Equities,0.809937007
10/31/05,US Equities,-1.667075733
11/30/05,US Equities,3.782212668
12/31/05,US Equities,0.034806632
1/31/06,US Equities,2.647784155
2/28/06,US Equities,0.27132566
3/31/06,US Equities,1.244753723
4/30/06,US Equities,1.342783825
5/31/06,US Equities,-2.87814217
6/30/06,US Equities,0.13557054
7/31/06,US Equities,0.616848358
8/31/06,US Equities,2.379314145
9/30/06,US Equities,2.57699538
10/31/06,US Equities,3.258610546
11/30/06,US Equities,1.901601202
12/31/06,US Equities,1.402774137
1/31/07,US Equities,1.512318084
2/28/07,US Equities,-1.955881533
3/31/07,US Equities,1.118498027
4/30/07,US Equities,4.429526571
5/31/07,US Equities,3.489509744
6/30/07,US Equities,-1.661331789
7/31/07,US Equities,-3.100481228
8/31/07,US Equities,1.49900929
9/30/07,US Equities,3.739883088
10/31/07,US Equities,1.590681087
11/30/07,US Equities,-4.180656817
12/31/07,US Equities,-0.693764546
1/31/08,US Equities,-5.998163672
2/29/08,US Equities,-3.248575615
3/31/08,US Equities,-0.431795373
4/30/08,US Equities,4.870312852
5/31/08,US Equities,1.295260598
6/30/08,US Equities,-8.430354655
7/31/08,US Equities,-0.84061734
8/31/08,US Equities,1.446464506
9/30/08,US Equities,-8.910729507
10/31/08,US Equities,-16.7947925
11/30/08,US Equities,-7.175453521
12/31/08,US Equities,1.064020402
1/31/09,US Equities,-8.428636556
2/28/09,US Equities,-10.64777928
3/31/09,US Equities,8.759518203
4/30/09,US Equities,9.570942164
5/31/09,US Equities,5.593292372
6/30/09,US Equities,0.19836641
7/31/09,US Equities,7.563729351
8/31/09,US Equities,3.610424037
9/30/09,US Equities,3.731513353
10/31/09,US Equities,-1.857704415
11/30/09,US Equities,5.998349942
12/31/09,US Equities,1.931546686
1/31/10,US Equities,-3.597372799
2/28/10,US Equities,3.09771787
3/31/10,US Equities,6.034489414
4/30/10,US Equities,1.5787694
5/31/10,US Equities,-7.985072665
6/30/10,US Equities,-5.23482927
7/31/10,US Equities,7.006304404
8/31/10,US Equities,-4.514418272
9/30/10,US Equities,8.924468112
10/31/10,US Equities,3.804916343
11/30/10,US Equities,0.012823066
12/31/10,US Equities,6.683144961
1/31/11,US Equities,2.370149468
2/28/11,US Equities,3.42590955
3/31/11,US Equities,0.039784668
4/30/11,US Equities,2.961533175
5/31/11,US Equities,-1.131963595
6/30/11,US Equities,-1.666913194
7/31/11,US Equities,-2.033454809
8/31/11,US Equities,-5.432198359
9/30/11,US Equities,-7.029883028
10/31/11,US Equities,10.92930573
11/30/11,US Equities,-0.220999944
12/31/11,US Equities,1.022920511
1/31/12,US Equities,4.48154201
2/29/12,US Equities,4.324195233
3/31/12,US Equities,3.290916633
4/30/12,US Equities,-0.627677549
5/31/12,US Equities,-6.010077759
6/30/12,US Equities,4.120221147
7/31/12,US Equities,1.38889735
8/31/12,US Equities,2.252285031
9/30/12,US Equities,2.584173227
10/31/12,US Equities,-1.846434767
11/30/12,US Equities,0.580107589
12/31/12,US Equities,0.911471492
1/31/13,US Equities,5.179494795
2/28/13,US Equities,1.357495059
3/31/13,US Equities,3.750323231
4/30/13,US Equities,1.926665723
5/31/13,US Equities,2.33918489
6/30/13,US Equities,-1.342878632
7/31/13,US Equities,5.088420853
8/31/13,US Equities,-2.896168966
9/30/13,US Equities,3.135950775
10/31/13,US Equities,4.596779825
11/30/13,US Equities,3.047398161
12/31/13,US Equities,2.531604311
1/31/14,US Equities,-3.45740776
2/28/14,US Equities,4.574392386
3/31/14,US Equities,0.840565864
4/30/14,US Equities,0.739203219
5/31/14,US Equities,2.347408507
6/30/14,US Equities,2.065748819
7/31/14,US Equities,-1.379090528
8/31/14,US Equities,4.000509478
9/30/14,US Equities,-1.402370034
10/31/14,US Equities,2.442516261
11/30/14,US Equities,2.689471092
12/31/14,US Equities,-0.251907952
1/31/15,US Equities,-3.001925856
2/28/15,US Equities,5.747154133
3/31/15,US Equities,-1.581451373
4/30/15,US Equities,0.959324529
5/31/15,US Equities,1.285926059
6/30/15,US Equities,-1.935806851
7/31/15,US Equities,2.095127988
8/31/15,US Equities,-6.03338498
9/30/15,US Equities,-2.474350073
10/31/15,US Equities,8.43540453
11/30/15,US Equities,0.297383602
12/31/15,US Equities,-1.57718218
1/31/16,US Equities,-4.96242022
2/29/16,US Equities,-0.134924431
3/31/16,US Equities,6.78382202
4/30/16,US Equities,0.387670193
5/31/16,US Equities,1.795818536
6/30/16,US Equities,0.259108856
7/31/16,US Equities,3.686867753
8/31/16,US Equities,0.140403168
9/30/16,US Equities,0.018913739
10/31/16,US Equities,-1.824118501
11/30/16,US Equities,3.703487938
12/31/16,US Equities,1.976606934
1/31/17,US Equities,1.896650627
2/28/17,US Equities,3.970590586
3/31/17,US Equities,0.116648735
4/30/17,US Equities,1.026987958
5/31/17,US Equities,1.407285407
6/30/17,US Equities,0.624144328
7/31/17,US Equities,2.056269762
8/31/17,US Equities,0.306126663
9/30/17,US Equities,2.062807968
10/31/17,US Equities,2.333546708
11/30/17,US Equities,3.066976623
12/31/17,US Equities,1.111869878
1/31/18,US Equities,5.725393396
2/28/18,US Equities,-3.685712173
3/31/18,US Equities,-2.541329909
4/30/18,US Equities,0.383710951
5/31/18,US Equities,2.408195891
6/30/18,US Equities,0.615490541
7/31/18,US Equities,3.721357725
8/31/18,US Equities,3.258532375
9/30/18,US Equities,0.569199495
10/31/18,US Equities,-6.835022191
11/30/18,US Equities,2.037844852
12/31/18,US Equities,-9.029086444
1/31/19,US Equities,8.013585202
2/28/19,US Equities,3.210817649
3/31/19,US Equities,1.943174418
4/30/19,US Equities,4.048964785
5/31/19,US Equities,-6.354817936
6/30/19,US Equities,7.047628514
7/31/19,US Equities,1.437210315
8/31/19,US Equities,-1.58403101
9/30/19,US Equities,1.871043761
10/31/19,US Equities,2.165972239
11/30/19,US Equities,3.629888035
12/31/19,US Equities,3.018201184
1/31/20,US Equities,-0.039207645
2/29/20,US Equities,-8.231918144
3/31/20,US Equities,-12.35128565
4/30/20,US Equities,12.81937457
5/31/20,US Equities,4.762806809
6/30/20,US Equities,1.988720567
7/31/20,US Equities,5.638513569
8/31/20,US Equities,7.188052293
9/30/20,US Equities,-3.799666104
10/31/20,US Equities,-2.65937991
11/30/20,US Equities,10.94639623
12/31/20,US Equities,3.844817328
1/31/21,US Equities,-1.009579996
2/28/21,US Equities,2.757491995
3/31/21,US Equities,4.379567186
4/30/21,US Equities,5.336875798
5/31/21,US Equities,0.698438338
6/30/21,US Equities,2.334479005
7/31/21,US Equities,2.375490324
8/31/21,US Equities,3.040565408
9/30/21,US Equities,-4.650977801
10/31/21,US Equities,7.006179473
11/30/21,US Equities,-0.692896086
12/31/21,US Equities,4.481613185
1/31/22,US Equities,-5.174703442
2/28/22,US Equities,-2.994145914
3/31/22,US Equities,3.712952951
4/30/22,US Equities,-8.720182827
5/31/22,US Equities,0.183461517
6/30/22,US Equities,-8.254375958
7/31/22,US Equities,9.220445119
8/31/22,US Equities,-4.078187993
9/30/22,US Equities,-9.209862405
10/31/22,US Equities,8.096135074
11/30/22,US Equities,5.588402513
12/31/22,US Equities,-5.761449154
1/31/23,US Equities,6.283392173
2/28/23,US Equities,-2.43989515
3/31/23,US Equities,3.671422912
4/30/23,US Equities,1.560845208
5/31/23,US Equities,0.43466596
